"","age","gender","residence","length_residency","n_family","n_friends","n_acquaintances","B","CON","NE","EE","NE_cent","EE_cent","talk"
"1",46,"Mannelijk","Van Starkenborgh (solar)",24,0,0,4,2.25,3.66666666666667,4,3,-0.136363636363637,0.0284090909090908,2
"2",48,"Mannelijk","Piccardthof",52,0,6,15,5.25,4.33333333333333,4.4,2.75,0.263636363636364,-0.221590909090909,3
"3",45,"Mannelijk","Van Starkenborgh (solar)",72,1,5,5,2.75,4.33333333333333,4.4,3,0.263636363636364,0.0284090909090908,2
"4",65,"Mannelijk","De Linie",172,6,0,35,4.75,5,4.4,3,0.263636363636364,0.0284090909090908,3
"5",52,"Mannelijk","De Linie",180,3,2,8,3.25,4,4,2.25,-0.136363636363637,-0.721590909090909,3
"6",53,"Mannelijk","De Linie",44,0,0,14,3.75,5,5,3,0.863636363636363,0.0284090909090908,2
"7",41,"Vrouwelijk","Van Starkenborgh (solar)",60,0,2,20,3.25,5,3.8,3,-0.336363636363637,0.0284090909090908,3
"8",50,"Vrouwelijk","Piccardthof",180,3,6,12,2,3.33333333333333,3.8,2.75,-0.336363636363637,-0.221590909090909,2
"9",72,"Mannelijk","De Linie",168,0,0,3,3,4.33333333333333,4.4,3.5,0.263636363636364,0.528409090909091,2
"10",55,"Vrouwelijk","Piccardthof",185,0,3,10,5,5,5,3.5,0.863636363636363,0.528409090909091,3
"11",68,"Mannelijk","Van Starkenborgh (solar)",210,0,8,15,6,5,4.2,3,0.0636363636363635,0.0284090909090908,3
"12",56,"Vrouwelijk","Piccardthof",242,0,1,7,3.25,2.66666666666667,3.6,2.75,-0.536363636363637,-0.221590909090909,2
"13",75,"Vrouwelijk","De Linie",180,1,0,30,2.25,3.33333333333333,3.6,2.25,-0.536363636363637,-0.721590909090909,3
"14",61,"Mannelijk","Van Starkenborgh (solar)",125,0,0,10,4,4,3.8,4,-0.336363636363637,1.02840909090909,3
"15",57,"Vrouwelijk","Van Starkenborgh (solar)",156,1,4,10,2.75,5,3.8,3,-0.336363636363637,0.0284090909090908,2
"16",56,"Vrouwelijk","Van Starkenborgh (solar)",37,0,3,10,3,4,4,3,-0.136363636363637,0.0284090909090908,2
"17",42,"Mannelijk","Piccardthof",5,0,0,6,5.25,5,4.6,3.5,0.463636363636363,0.528409090909091,2
"18",66,"Mannelijk","Piccardthof",240,0,1,4,1.5,3.33333333333333,4.2,2.25,0.0636363636363635,-0.721590909090909,2
"19",55,"Mannelijk","Piccardthof",18,1,0,2,2.75,3.66666666666667,4,4,-0.136363636363637,1.02840909090909,2
"20",38,"Mannelijk","Piccardthof",24,0,8,16,2.75,3,3.4,2.75,-0.736363636363637,-0.221590909090909,2
"21",61,"Mannelijk","Van Starkenborgh (solar)",80,0,0,4,3.5,4.66666666666667,5,3.25,0.863636363636363,0.278409090909091,3
"22",40,"Mannelijk","Van Starkenborgh (solar)",60,0,2,10,1.75,4.33333333333333,3.8,2.5,-0.336363636363637,-0.471590909090909,3
"23",53,"Mannelijk","De Linie",160,0,2,6,4.75,4.33333333333333,4.2,2,0.0636363636363635,-0.971590909090909,2
"24",47,"Vrouwelijk","Van Starkenborgh (solar)",200,0,8,30,5,4.66666666666667,4,3.5,-0.136363636363637,0.528409090909091,3
"25",43,"Vrouwelijk","Van Starkenborgh (solar)",11,0,0,2,4.5,4.66666666666667,4.4,3,0.263636363636364,0.0284090909090908,1
"26",50,"Vrouwelijk","Van Starkenborgh (solar)",130,0,0,4,5.5,5,4.6,3,0.463636363636363,0.0284090909090908,3
"27",40,"Mannelijk","Van Starkenborgh (solar)",150,0,4,20,2.25,4.66666666666667,4.6,2.5,0.463636363636363,-0.471590909090909,3
"28",29,"Vrouwelijk","Van Starkenborgh (solar)",24,0,0,0,5.75,4,4.2,2.75,0.0636363636363635,-0.221590909090909,1
"29",47,"Vrouwelijk","Van Starkenborgh (solar)",43,0,0,3,3.75,4,4,3.5,-0.136363636363637,0.528409090909091,2
"30",38,"Vrouwelijk","Van Starkenborgh (solar)",120,1,3,0,2,3.33333333333333,3.6,1.5,-0.536363636363637,-1.47159090909091,1
"31",34,"Mannelijk","De Linie",60,0,0,10,2,3.33333333333333,4.4,2.75,0.263636363636364,-0.221590909090909,3
"32",45,"Vrouwelijk","De Linie",28,3,4,20,3.75,3.33333333333333,4.4,2.75,0.263636363636364,-0.221590909090909,2
"33",68,"Mannelijk","Van Starkenborgh (solar)",208,0,2,4,2.75,5,4.6,3.25,0.463636363636363,0.278409090909091,3
"34",72,"Vrouwelijk","Piccardthof",163,0,0,12,2.5,3.66666666666667,4,3,-0.136363636363637,0.0284090909090908,2
"35",60,"Mannelijk","Piccardthof",200,0,8,14,2.5,4,3.6,2.5,-0.536363636363637,-0.471590909090909,3
"36",36,"Vrouwelijk","Van Starkenborgh (solar)",18,0,2,4,3,4,3.4,3,-0.736363636363637,0.0284090909090908,2
"37",62,"Mannelijk","Piccardthof",42,0,4,17,4.25,4.33333333333333,4.4,3,0.263636363636364,0.0284090909090908,3
"38",50,"Vrouwelijk","Piccardthof",225,0,14,60,4,5,3,3,-1.13636363636364,0.0284090909090908,3
"39",40,"Vrouwelijk","Piccardthof",72,0,4,40,4,4.33333333333333,4,3.5,-0.136363636363637,0.528409090909091,3
"40",39,"Vrouwelijk","Piccardthof",12,0,0,10,3.5,5,4.6,3.25,0.463636363636363,0.278409090909091,4
"41",42,"Vrouwelijk","Piccardthof",180,0,4,14,3.5,4,4,3.5,-0.136363636363637,0.528409090909091,3
"42",76,"Mannelijk","Piccardthof",228,0,5,20,2.75,3.66666666666667,4,3,-0.136363636363637,0.0284090909090908,3
"43",68,"Vrouwelijk","Van Starkenborgh (solar)",156,0,0,2,2.75,3.66666666666667,3.8,2.25,-0.336363636363637,-0.721590909090909,2
"44",59,"Mannelijk","Piccardthof",216,0,12,28,3.25,5,5,4.25,0.863636363636363,1.27840909090909,2
"45",57,"Mannelijk","Van Starkenborgh (car)",220,0,2,10,4.5,2,3.75,2.5,0.900462962962963,-0.074074074074074,1
"46",59,"Mannelijk","Van Starkenborgh (car)",200,0,2,15,3.75,3.75,2,2.25,-0.849537037037037,-0.324074074074074,3
"47",59,"Mannelijk","Van Starkenborgh (car)",216,3,4,20,5.5,3.5,2.75,2.25,-0.0995370370370372,-0.324074074074074,3
"48",46,"Vrouwelijk","Reitdiep",224,2,0,20,3.75,3.5,4,2.75,1.15046296296296,0.175925925925926,3
"49",54,"Mannelijk","Van Starkenborgh (car)",230,3,1,20,4.25,4.25,3.5,2.5,0.650462962962963,-0.074074074074074,2
"50",63,"Mannelijk","Reitdiep",20,0,0,12,5.5,4,2,2,-0.849537037037037,-0.574074074074074,2
